date,CashData
4/27/2021 1:00,1773.64
4/27/2021 1:00,1785.48
4/28/2021 1:00,1762.58
4/28/2021 1:00,1782.47
4/29/2021 1:00,1789.88
4/29/2021 1:00,1755.96
4/30/2021 1:00,1773.64
4/30/2021 1:00,1764.11
5/3/2021 1:00,1766.04
5/3/2021 1:00,1797.95
5/4/2021 1:00,1799.07
5/4/2021 1:00,1770.63
5/5/2021 1:00,1770.27
5/5/2021 1:00,1787.92
5/6/2021 1:00,1781.9
5/6/2021 1:00,1818.04
5/7/2021 1:00,1813.03
5/7/2021 1:00,1843.24
5/10/2021 1:00,1829.8
5/10/2021 1:00,1845.34
5/11/2021 1:00,1841.75
5/11/2021 1:00,1817.83
5/12/2021 1:00,1843.6
5/12/2021 1:00,1813.17
5/13/2021 1:00,1808.66
5/13/2021 1:00,1828.72
5/14/2021 1:00,1819.85
5/14/2021 1:00,1846.03
5/17/2021 1:00,1840.49
5/17/2021 1:00,1868.41
5/18/2021 1:00,1874.95
5/18/2021 1:00,1863.1
5/19/2021 1:00,1852.08
5/19/2021 1:00,1890.02
5/20/2021 1:00,1863.79
5/20/2021 1:00,1883.8
5/21/2021 1:00,1889.31
5/21/2021 1:00,1870.05
5/24/2021 1:00,1887.04
5/24/2021 1:00,1875.13
5/25/2021 1:00,1872.56
5/25/2021 1:00,1900.28
5/26/2021 1:00,1912.65
5/26/2021 1:00,1890.14
5/27/2021 1:00,1903.6
5/27/2021 1:00,1888.12
5/28/2021 1:00,1882.63
5/28/2021 1:00,1905.61
5/31/2021 1:00,1910.55
5/31/2021 1:00,1902.44
6/1/2021 1:00,1916.12
6/1/2021 1:00,1892.87
6/2/2021 1:00,1894.14
6/2/2021 1:00,1908.99
6/3/2021 1:00,1909.6
6/3/2021 1:00,1864.99
6/4/2021 1:00,1855.54
6/4/2021 1:00,1896.12
6/7/2021 1:00,1881.44
6/7/2021 1:00,1900.05
6/8/2021 1:00,1903.67
6/8/2021 1:00,1884.15
6/9/2021 1:00,1887.2
6/9/2021 1:00,1898.36
6/10/2021 1:00,1869.68
6/10/2021 1:00,1899.81
6/11/2021 1:00,1902.87
6/11/2021 1:00,1874.33
6/14/2021 1:00,1877.81
6/14/2021 1:00,1844.73
6/15/2021 1:00,1869.09
6/15/2021 1:00,1851.48
6/16/2021 1:00,1863.1
6/16/2021 1:00,1803.43
6/17/2021 1:00,1825.14
6/17/2021 1:00,1766.95
6/18/2021 1:00,1797.13
6/18/2021 1:00,1760.63
6/21/2021 1:00,1764.67
